ngram,random_color
eax 0B9399FC0h,"rgb(54,206,35)"
dword_40E03C 330BB51Ah,"rgb(168,238,119)"
eax 71A9004Ch,"rgb(200,163,44)"
eax 7AF82346h,"rgb(115,227,168)"
ecx 1780B8C7h,"rgb(39,104,25)"
eax 0E5E4h,"rgb(19,238,73)"
esi 7AF823A1h,"rgb(182,255,23)"
dword_40E0F8 77h,"rgb(244,224,104)"
ebx 4544h,"rgb(45,229,69)"
esi 9FCCh,"rgb(184,163,57)"
[ebp-4] 0F5F04742h,"rgb(196,82,136)"
edi 6D959BEFh,"rgb(56,98,215)"
eax 0B23Fh,"rgb(36,221,244)"
ebx [esi-0E0E5h],"rgb(216,227,166)"
ebx 6490h,"rgb(45,190,54)"
esi 0C821EE1Bh,"rgb(214,255,206)"
edi 7DE95B67h,"rgb(83,32,253)"
eax 5435h,"rgb(253,101,121)"
dword_40E0DC 58h,"rgb(33,55,51)"
ecx 0F120F6E6h,"rgb(22,143,143)"
ecx 0E7D64E82h,"rgb(15,90,250)"
edx 9226h,"rgb(125,106,7)"
ebx 0B73h,"rgb(0,115,252)"
eax 5B7Ch,"rgb(232,215,84)"
short loc_408389,"rgb(50,58,50)"
edx 18DD17C3h,"rgb(89,149,192)"
edx 8F5B5832h,"rgb(105,139,136)"
edx 0F66301h,"rgb(35,207,233)"
eax [edx+0C62Dh],"rgb(81,186,212)"
dword_40E0A4 0Fh,"rgb(40,151,162)"
[ebp+var_1] 45h,"rgb(100,213,189)"
edi 10036788h,"rgb(205,96,81)"
ecx [edi+0FAFh],"rgb(228,131,99)"
ebx 0E37Ch,"rgb(125,144,229)"
ecx 0EF598020h,"rgb(176,6,31)"
ecx 0EB02h,"rgb(37,196,197)"
ebx [edi-13AE5F0Bh],"rgb(179,230,21)"
edi 0C029944Ah,"rgb(224,158,201)"
dword_40E0D4 0B8h,"rgb(250,100,175)"
ebx 0AB1Eh,"rgb(181,95,9)"
eax 38E3h,"rgb(160,9,169)"
edx 0C09CBC07h,"rgb(58,101,69)"
ecx 220363FAh,"rgb(104,114,255)"
ecx 0C09CBC07h,"rgb(107,130,193)"
eax -0Bh,"rgb(71,25,249)"
eax 0E29FFF4Eh,"rgb(78,149,112)"
dword_40E038 49ABh,"rgb(151,123,95)"
dword_40E04C 49AC5831h,"rgb(158,178,225)"
ecx 0DD1FDDF9h,"rgb(90,73,132)"
ecx 0D44BB623h,"rgb(236,57,116)"
ebx 0F66174F6h,"rgb(180,224,14)"
edi 2CC4h,"rgb(168,136,115)"
[ebp+var_14] 0FFFF1E85h,"rgb(71,173,62)"
dword_40E04C 54C09Ch,"rgb(59,94,204)"
dword_40E078 0E17Bh,"rgb(12,145,68)"
ecx 0C09C0000h,"rgb(255,193,109)"
[ebp+var_4] 0DEFEDB27h,"rgb(148,20,124)"
[ebp+var_14] 0BEE4EF3Bh,"rgb(122,95,103)"
short loc_40877A,"rgb(49,161,8)"
edi [esi-8Eh],"rgb(252,15,250)"
ecx 0EE61E43Ch,"rgb(248,49,124)"
dword_40E0DC 0DC03h,"rgb(177,208,53)"
dword_40E0D4 887FC5CDh,"rgb(17,116,68)"
ebx 4E3E2822h,"rgb(79,229,37)"
dword_40E078 0AAh,"rgb(233,54,183)"
dword_40E03C 63C48C9Fh,"rgb(212,223,170)"
push 0A26Dh,"rgb(42,37,71)"
push 63C450F1h,"rgb(143,161,245)"
edi [eax-46h],"rgb(90,210,43)"
esi 782943A2h,"rgb(139,194,120)"
eax 4FB7A30h,"rgb(188,112,147)"
ebx 3C25h,"rgb(50,100,52)"
ebx 0C5D0B8FAh,"rgb(88,247,184)"
[ebp+var_8] 19E3h,"rgb(179,102,228)"
dword_40E078 6200h,"rgb(7,156,32)"
ebx 0E5043B3Ah,"rgb(70,214,93)"
push 2F43h,"rgb(171,21,60)"
esi 0FD4Fh,"rgb(201,154,49)"
[ebp+var_8] 8918h,"rgb(32,40,54)"
jz loc_408B3B,"rgb(246,156,0)"
esi 5DDC62A7h,"rgb(85,40,63)"
esi 834C5A70h,"rgb(175,6,7)"
dword_40E074 1F0h,"rgb(211,244,110)"
esi 9B44h,"rgb(96,220,203)"
eax [ecx+213955C8h],"rgb(248,70,229)"
dword_40E058 1BD3h,"rgb(13,220,116)"
edi 440E84B8h,"rgb(122,30,13)"
[ebp+var_4] 1C81C034h,"rgb(220,64,10)"
ebx 99BC303Eh,"rgb(141,95,57)"
esi 0DF9DD395h,"rgb(135,237,61)"
edi 45A4C85Ah,"rgb(139,204,109)"
edi 7CF60576h,"rgb(193,200,215)"
esi 1C823AE2h,"rgb(130,223,232)"
esi 1C823BB4h,"rgb(95,255,110)"
ebx 0BA9h,"rgb(71,172,127)"
jz loc_408D3A,"rgb(41,83,182)"
[ebp+var_4] 0DE4720A5h,"rgb(103,5,44)"
esi 0CE2C57A0h,"rgb(240,18,247)"
esi 0F4EEh,"rgb(7,222,81)"
ecx 0DE4720A5h,"rgb(207,177,106)"
esi [ebx-0B839h],"rgb(195,150,8)"
push 503682Ch,"rgb(230,232,166)"
dword_40E074 0CD6774DFh,"rgb(88,237,179)"
short loc_408DAC,"rgb(2,40,89)"
[esp+14h+var_4] 2FB57677h,"rgb(54,174,238)"
esi 0B8CCh,"rgb(45,241,86)"
dword_40E058 5A77703Bh,"rgb(161,110,47)"
[esp+24h+var_4] 0EFB5FFFFh,"rgb(116,0,147)"
esi 0CA8Ch,"rgb(55,3,75)"
dword_40E038 0EFB5FFFFh,"rgb(127,131,112)"
push 4AA8ECDh,"rgb(164,68,156)"
esi 0F2D8D076h,"rgb(160,81,221)"
dword_40E0DC 0F5h,"rgb(241,170,45)"
cl byte_40E040,"rgb(209,38,115)"
push 33EEh,"rgb(237,91,108)"
esi 550F3406h,"rgb(22,76,121)"
dword_40E044 1E3h,"rgb(149,138,56)"
dword_40E0A4 0DCh,"rgb(187,172,189)"
dword_40E03C 7E737055h,"rgb(198,41,242)"
ebp dword_40E074,"rgb(166,108,215)"
ebp 0E50Ch,"rgb(210,71,225)"
eax 818C8FABh,"rgb(42,71,69)"
short loc_408F6A,"rgb(234,81,152)"
esi 1C40000h,"rgb(23,170,43)"
esi 1A3Fh,"rgb(156,174,104)"
eax 0B908h,"rgb(115,210,243)"
esi [eax-0D1h],"rgb(129,171,19)"
eax 0A640h,"rgb(251,80,10)"
ecx 0AF35h,"rgb(200,209,221)"
eax 0DC40h,"rgb(189,216,6)"
short loc_409027,"rgb(247,171,214)"
esi 484Fh,"rgb(24,131,201)"
ecx 6AF6h,"rgb(115,102,253)"
esi 2C75h,"rgb(231,206,63)"
dword_40E0A4 7632034Ch,"rgb(38,156,167)"
short loc_40905F,"rgb(235,69,108)"
esi 0E3DFh,"rgb(219,231,161)"
dword_40E038 6868h,"rgb(142,95,91)"
esi [eax+6868h],"rgb(48,162,6)"
eax 0C889h,"rgb(5,157,13)"
ebx 0EFCFh,"rgb(194,245,156)"
[ebp-18h] 0Bh,"rgb(131,149,133)"
edi 6A00h,"rgb(103,208,245)"
[ebp-4] 0B864h,"rgb(203,39,138)"
[ebp-8] 0FFFFB6C3h,"rgb(29,156,123)"
dword_40E0F8 9,"rgb(154,189,86)"
[ebp-0Ch] 17AF03D5h,"rgb(11,216,211)"
eax 0D0E5FD7Eh,"rgb(160,165,52)"
[ebp-4] 0CB3F8C2Ch,"rgb(147,221,65)"
ecx 7931h,"rgb(24,46,68)"
[ebp-4] 0E592h,"rgb(76,255,164)"
[ebp-18h] al,"rgb(119,233,219)"
edi 0FA25h,"rgb(237,103,50)"
[ebp-8] 1F94h,"rgb(81,154,34)"
push 0B879B71Dh,"rgb(150,150,141)"
esi [eax+0B84Fh],"rgb(105,239,98)"
offset unk_40E674,"rgb(89,255,209)"
stmxcsr dword_40E670,"rgb(187,33,79)"
offset dword_430B40,"rgb(129,71,57)"
short loc_409D86,"rgb(24,66,6)"
cmp dword_4308F4,"rgb(67,117,103)"
dword_4308F4 ebx,"rgb(213,121,172)"
ebx dword_4308F4,"rgb(238,22,100)"
offset unk_430214,"rgb(44,56,229)"
offset dword_430228,"rgb(210,250,255)"
offset byte_4302B8,"rgb(242,159,38)"
short loc_40A1AB,"rgb(166,148,192)"
ecx dword_430228[eax],"rgb(159,21,51)"
eax off_43022C[eax],"rgb(13,247,180)"
eax dword_4303B0,"rgb(95,54,226)"
jz locret_40B851,"rgb(92,88,79)"
ecx dword_4308E8,"rgb(239,145,60)"
dword_4308F4 1,"rgb(27,138,90)"
eax dword_4308F4,"rgb(183,253,103)"
dword_4308F4,"rgb(110,87,180)"
and dword_4308F0,"rgb(158,49,34)"
dword_4308F0 0,"rgb(140,60,18)"
mov dword_4308E0,"rgb(119,249,242)"
dword_4308E0 ecx,"rgb(170,248,135)"
dword_40E058 0C4E5h,"rgb(203,219,77)"
edi 875h,"rgb(180,120,185)"
eax 94D0h,"rgb(3,42,177)"
dword_40E074 38858A2Fh,"rgb(156,135,247)"
edi 636B7545h,"rgb(92,245,219)"
[ebp+var_8] 0E8A97606h,"rgb(252,29,103)"
esi 0F1429AC2h,"rgb(73,216,101)"
call sub_4057BB,"rgb(185,81,46)"
[ebp+var_4] 0D2033BFBh,"rgb(113,217,239)"
ebx 82A40AD4h,"rgb(58,167,196)"
dword_40E0D4 0C3A4CACCh,"rgb(23,132,36)"
call sub_405581,"rgb(129,26,78)"
[ebp+var_14] 3C989h,"rgb(138,94,173)"
ebx 3A40h,"rgb(105,27,85)"
edi [edi+edx+44h],"rgb(221,60,87)"
esi [ebx-0BFh],"rgb(64,241,196)"
push 0B67Eh,"rgb(174,206,60)"
ebx [eax+69Ch],"rgb(59,83,143)"
[ebp+var_8] 7564EC42h,"rgb(120,155,96)"
[ebp+var_4] 831Ah,"rgb(16,189,189)"
call sub_402FA3,"rgb(5,8,172)"
dword_40E058 0B7h,"rgb(201,101,33)"
esi 668F4E10h,"rgb(236,72,40)"
dword_40E0AC 0D0h,"rgb(126,95,72)"
ebx 0BEAAh,"rgb(215,145,169)"
jnz loc_40110B,"rgb(183,55,26)"
esi 53BDh,"rgb(177,87,144)"
mov dword_430738,"rgb(96,179,145)"
dword_430738 eax,"rgb(217,86,134)"
eax 5353A9AAh,"rgb(223,127,100)"
short locret_40135B,"rgb(166,32,11)"
eax 6F4AC01Eh,"rgb(67,249,235)"
push 41C8h,"rgb(118,215,12)"
push 0E1A5h,"rgb(113,78,184)"
esi 0C3AC0766h,"rgb(150,116,148)"
edi 0E23D4E34h,"rgb(97,38,45)"
dword_40E08C 3C53F89Ah,"rgb(96,120,252)"
ecx 172225A7h,"rgb(102,234,46)"
edx 0C8FE34DCh,"rgb(173,174,205)"
[ebp-4] 8CE7D147h,"rgb(170,102,58)"
dword_40E0AC 0FFFFBCEDh,"rgb(240,135,136)"
dword_40E044 0FA0A1C47h,"rgb(100,32,8)"
push 8E63F285h,"rgb(88,74,179)"
call sub_405CBB,"rgb(183,116,57)"
eax 3701CB8Eh,"rgb(94,203,204)"
push 5CA5h,"rgb(193,73,75)"
esi 0A2Eh,"rgb(2,48,16)"
dword_40E044 61h,"rgb(191,231,54)"
push 0F546A3DCh,"rgb(135,142,96)"
esi 0F3D8h,"rgb(128,46,169)"
ecx dword_430738,"rgb(254,127,20)"
eax [esi-0A1h],"rgb(147,7,13)"
eax 0B81039FFh,"rgb(17,91,123)"
eax 0EB1Bh,"rgb(87,156,243)"
eax 0B4F7F140h,"rgb(54,2,43)"
edx [ecx+12000h],"rgb(225,93,34)"
eax 3BD9F9B3h,"rgb(36,41,235)"
offset unk_40E118,"rgb(76,144,78)"
eax 9882h,"rgb(46,109,217)"
eax 0B8EFh,"rgb(166,251,237)"
dword_40E044 77F3FBFFh,"rgb(79,198,171)"
dword_40E0F8 8E34h,"rgb(53,80,238)"
esi 702808h,"rgb(94,187,77)"
push 0A5124A59h,"rgb(194,104,182)"
call sub_4075CC,"rgb(108,36,190)"
eax 0A90E7h,"rgb(125,21,2)"
eax 0BA454681h,"rgb(201,161,4)"
esi 0A1F0h,"rgb(14,81,157)"
esi 9C0C5A41h,"rgb(13,56,55)"
esi 6B815B86h,"rgb(190,7,244)"
esi 3E47490Bh,"rgb(44,51,34)"
call sub_405EB7,"rgb(134,135,98)"
esi 0EC5CC75Ah,"rgb(184,7,157)"
jnz loc_40159F,"rgb(129,111,76)"
eax 1160C863h,"rgb(39,232,127)"
dword_40E044 1160C863h,"rgb(176,90,150)"
eax 564B83F1h,"rgb(248,156,234)"
eax 9D6Eh,"rgb(232,5,79)"
push 0F04Dh,"rgb(30,169,193)"
push 0E469h,"rgb(71,79,175)"
cl byte_40E110,"rgb(114,161,247)"
esi 0E164h,"rgb(215,31,141)"
esi 1E97BB84h,"rgb(35,63,181)"
push 2C097B9Dh,"rgb(130,163,186)"
dword_40E0AC 18Eh,"rgb(177,169,52)"
ecx 4F4Ah,"rgb(192,251,142)"
eax 191FDh,"rgb(126,208,14)"
ecx 4E6Ch,"rgb(50,143,100)"
ecx 0B5CADF7Dh,"rgb(204,251,240)"
dword_40E074 6A67367Dh,"rgb(195,201,135)"
dword_40E08C 2D45EBh,"rgb(241,174,16)"
ecx 0FFD32081h,"rgb(25,97,210)"
ecx 0FFBA2471h,"rgb(36,89,71)"
eax 2CDF7Fh,"rgb(192,220,52)"
eax 6904F0h,"rgb(197,180,151)"
eax 4570h,"rgb(137,57,208)"
dword_40E04C 15h,"rgb(97,30,27)"
dword_40E08C 29h,"rgb(144,62,204)"
dword_40E058 72h,"rgb(143,142,69)"
dword_40E03C 32C4h,"rgb(71,107,112)"
eax 0F9D5h,"rgb(103,76,180)"
ecx 0B183h,"rgb(118,178,211)"
eax 0C0D8h,"rgb(56,64,210)"
ebx [eax+0BC09h],"rgb(79,1,68)"
cl byte_40E0B8,"rgb(66,177,160)"
esi 0DD90h,"rgb(20,222,217)"
eax [edi+ebp-1Dh],"rgb(142,173,109)"
push 0A381ED08h,"rgb(121,4,92)"
push 6C30h,"rgb(190,32,201)"
esi 89F65BEEh,"rgb(224,57,52)"
[ebp-4] 0CC3B5728h,"rgb(177,159,72)"
esi 9F749DDEh,"rgb(140,248,200)"
dword_40E0A4 33C4A8D8h,"rgb(239,223,154)"
eax 803Ch,"rgb(211,91,208)"
dword_40E058 3733h,"rgb(171,59,212)"
push 0BEFE3505h,"rgb(227,48,112)"
esi 0A4FD4ED3h,"rgb(187,252,224)"
eax 0CC3B5728h,"rgb(240,122,87)"
edi 9B59h,"rgb(29,136,41)"
dword_40E03C 0BFh,"rgb(185,137,49)"
esi [ebx-0FCB8h],"rgb(118,61,192)"
esi 0BD05h,"rgb(119,50,141)"
mov off_40E0F0,"rgb(143,225,187)"
off_40E0F0 eax,"rgb(92,246,227)"
edi 617Ah,"rgb(163,254,11)"
push 0A469h,"rgb(185,92,167)"
eax [esi-0AE52h],"rgb(205,120,233)"
eax 0E539h,"rgb(205,151,25)"
edi 126Ch,"rgb(73,81,173)"
eax 2AD52E09h,"rgb(132,117,196)"
eax 7D78h,"rgb(73,68,84)"
dword_40E0D4 0Ah,"rgb(223,189,254)"
esi 0B41C75CDh,"rgb(79,77,193)"
ecx 0B41C75CDh,"rgb(181,158,48)"
[ebp-4] 0FEh,"rgb(46,83,201)"
esi 0D90E4B64h,"rgb(236,231,72)"
dword_40E03C 21EFh,"rgb(82,207,149)"
[ebp+var_C] 0CF88C3D2h,"rgb(174,96,59)"
edx [eax+71F8h],"rgb(27,123,149)"
[ebp+var_4] 0CF88C3D4h,"rgb(239,27,231)"
ecx 398BD77Dh,"rgb(74,11,85)"
esi 8572h,"rgb(201,146,162)"
[ebp+var_C] 0F480000h,"rgb(151,93,154)"
ecx 91A2h,"rgb(89,39,109)"
dword_40E058 40A8FA8Ch,"rgb(147,247,152)"
short locret_401F0F,"rgb(74,5,86)"
edx 9E935226h,"rgb(133,185,76)"
dword_40E0D4 9E93B05Fh,"rgb(181,227,142)"
ecx 44C00000h,"rgb(124,16,155)"
ecx 9E93B05Fh,"rgb(155,32,238)"
eax 0D48F7646h,"rgb(125,46,68)"
ecx 84A3A102h,"rgb(188,123,33)"
eax 0B382h,"rgb(24,97,1)"
ecx 2E46A0h,"rgb(121,242,93)"
ebp dword_40E0F8,"rgb(115,101,156)"
ecx 1F4A26BFh,"rgb(38,103,210)"
eax 0FE1FB589h,"rgb(44,76,132)"
eax 0B8FFh,"rgb(179,141,115)"
eax 63C4h,"rgb(240,55,71)"
eax [ecx+165919A6h],"rgb(161,226,162)"
eax 99818E0Bh,"rgb(2,145,17)"
eax 7A519512h,"rgb(41,147,59)"
dword_40E074 9E94h,"rgb(177,30,241)"
edx [eax+4C3h],"rgb(44,61,182)"
edx 66B7h,"rgb(202,91,224)"
ecx 0E04Ch,"rgb(229,51,152)"
dword_40E0F8 97F5h,"rgb(211,195,104)"
eax 0AC000000h,"rgb(85,194,210)"
dword_40E0AC 3963FD1Ch,"rgb(176,249,196)"
ecx 3963FD1Ch,"rgb(220,210,130)"
short locret_402147,"rgb(158,51,182)"
edi 0BC4Eh,"rgb(117,148,78)"
ebp 3CC20h,"rgb(210,132,211)"
dword_40E074 ebp,"rgb(109,235,51)"
edx 5A1Bh,"rgb(116,32,59)"
esi 1CFDA81Ch,"rgb(29,185,11)"
esi 4153h,"rgb(40,50,201)"
esi [ebx-0C0FCh],"rgb(84,248,5)"
ebx 6E74h,"rgb(117,116,51)"
esi 0E9Bh,"rgb(111,129,226)"
eax 2989F1AFh,"rgb(252,210,253)"
edx 8368CF9Ch,"rgb(158,35,19)"
eax [esi-7175BAE0h],"rgb(180,60,201)"
dword_40E044 0DFDAh,"rgb(51,224,95)"
ecx 43AF4DDBh,"rgb(169,138,147)"
eax 93B5h,"rgb(70,150,200)"
eax 5128C10Dh,"rgb(50,4,44)"
eax 0E80038A4h,"rgb(69,17,104)"
ecx 0AD6286DAh,"rgb(34,84,104)"
eax 6AE7h,"rgb(63,179,17)"
ecx 4B9D2EB8h,"rgb(165,80,141)"
edx 890h,"rgb(127,6,79)"
eax 0AE74h,"rgb(188,249,113)"
eax [esi+0A51h],"rgb(92,97,56)"
eax 29DC5EDCh,"rgb(48,87,190)"
ecx 82286AB2h,"rgb(218,69,122)"
edx [ecx+15C88D31h],"rgb(249,85,92)"
ecx 0E258F221h,"rgb(250,59,146)"
esi 0F95F1A81h,"rgb(45,60,239)"
esi 8F068F2Eh,"rgb(85,49,129)"
push 1753E78h,"rgb(143,152,48)"
call sub_404552,"rgb(64,105,255)"
edi 308Ah,"rgb(136,210,40)"
esi [eax+0A597h],"rgb(149,40,184)"
eax 4326h,"rgb(227,111,80)"
ebx 0BC208E73h,"rgb(225,216,83)"
[ebp-4] 50h,"rgb(41,66,105)"
xor [ebp+14h],"rgb(4,61,27)"
edi 0C020602Eh,"rgb(145,72,36)"
esi 0BE167843h,"rgb(143,171,20)"
dword_40E0DC 41E987BDh,"rgb(70,98,216)"
esi 4E322477h,"rgb(137,243,248)"
[ebp+14h] 0FD30h,"rgb(220,148,253)"
ebx 6568E13Dh,"rgb(143,67,111)"
ebx 7C98A46Eh,"rgb(230,10,242)"
eax [esi-2921h],"rgb(254,1,90)"
esi 0F7588302h,"rgb(178,249,193)"
ebx 9CE4CAB2h,"rgb(238,89,183)"
dword_40E044 0E6h,"rgb(83,161,195)"
eax 0A2FC6CCCh,"rgb(242,228,240)"
ecx 3CE668F5h,"rgb(155,65,228)"
dword_40E038 1347h,"rgb(206,54,238)"
eax 366Ch,"rgb(218,223,84)"
eax 638A422Ah,"rgb(25,190,190)"
push 0F91CB15Fh,"rgb(172,173,190)"
call sub_407034,"rgb(76,194,149)"
ecx [ebx+59B4h],"rgb(234,210,208)"
jge loc_402866,"rgb(108,147,38)"
eax 9519h,"rgb(93,251,174)"
jle loc_40287F,"rgb(57,159,21)"
edi [eax-3CF85A8Ch],"rgb(80,203,211)"
dword_40E04C 0AD6E01Dh,"rgb(105,11,108)"
edi 92F2h,"rgb(95,145,227)"
dword_40E04C 1Eh,"rgb(94,115,49)"
push 960Bh,"rgb(3,237,162)"
esi 0C70Eh,"rgb(68,62,43)"
esi 0C2D582C5h,"rgb(244,158,29)"
eax 0B8A80116h,"rgb(45,102,249)"
push 0FF2Fh,"rgb(223,96,255)"
ebp 6645E2Bh,"rgb(157,1,100)"
[esp+18h+var_8] 0B8A8D4C6h,"rgb(32,79,242)"
ebx 60D6E342h,"rgb(51,219,223)"
ebx [esi+60D6E342h],"rgb(29,236,57)"
[esp+18h+var_8] 2A353180h,"rgb(181,230,219)"
[esp+18h+var_8] 3A5Bh,"rgb(192,146,30)"
ebx 0CEE9438Eh,"rgb(67,198,10)"
dword_40E0F8 7447B596h,"rgb(134,207,199)"
call sub_40866C,"rgb(230,61,196)"
[esp+18h] 1100h,"rgb(191,247,163)"
ebx 6F1FA7CBh,"rgb(208,79,193)"
esi 6F1FA7CBh,"rgb(232,126,217)"
[esp+1Ch] 64162D8Bh,"rgb(135,165,77)"
edi 0FFFFA7EBh,"rgb(181,217,139)"
call sub_4056E2,"rgb(38,115,237)"
[esp+10h] 65B5h,"rgb(255,193,196)"
push 0BFCDh,"rgb(109,42,34)"
eax 0A609h,"rgb(158,92,152)"
dword_40E03C 10h,"rgb(28,117,109)"
eax 0DCFA8880h,"rgb(132,147,209)"
push 6B8F4881h,"rgb(158,73,117)"
dword_40E0AC 0BD19h,"rgb(43,153,138)"
call sub_402C1E,"rgb(31,218,137)"
and dword_40E0D4,"rgb(196,34,153)"
eax 0F4E7h,"rgb(87,58,83)"
eax 9D3B2D3Eh,"rgb(176,97,33)"
eax 0ECD8E676h,"rgb(24,255,170)"
ecx 0E83F5230h,"rgb(50,39,209)"
ecx 4A71h,"rgb(249,110,184)"
call sub_40501F,"rgb(173,142,206)"
edi 0B7ECh,"rgb(72,6,32)"
ebx 8F277545h,"rgb(25,156,61)"
[ebp+var_4] 8C601101h,"rgb(182,172,241)"
dword_40E044 8C601101h,"rgb(253,43,111)"
eax 8D605D99h,"rgb(207,234,8)"
ecx 5D910D2Ah,"rgb(230,78,48)"
push 95C6A236h,"rgb(198,243,30)"
dword_40E03C 0D27Dh,"rgb(200,154,6)"
push 0B5CCh,"rgb(40,39,25)"
ecx [esi-729FA267h],"rgb(168,108,63)"
push 0C838h,"rgb(161,5,7)"
mov byte_40E111,"rgb(249,7,51)"
byte_40E111 al,"rgb(65,238,228)"
ebx [edi-22C4h],"rgb(107,238,122)"
eax 876ED399h,"rgb(67,16,223)"
ebx 0C03Ch,"rgb(34,124,224)"
push 0B18Eh,"rgb(246,2,99)"
call sub_4048D3,"rgb(212,228,109)"
dword_40E0F8 47A0C9EAh,"rgb(47,199,180)"
dword_40E074 48h,"rgb(170,162,231)"
eax 9E29AF6Dh,"rgb(8,207,95)"
push 54Eh,"rgb(108,172,123)"
ebx [eax+ecx+527E3021h],"rgb(185,226,138)"
ebx 2C30h,"rgb(61,75,52)"
edi 1F1Fh,"rgb(208,118,139)"
eax [edi+2FFEDC46h],"rgb(111,187,241)"
call sub_407776,"rgb(249,197,159)"
ebx 6F17D4E7h,"rgb(94,115,78)"
edi 4D98CF4Fh,"rgb(112,250,199)"
call sub_406BAF,"rgb(168,203,3)"
dword_40E058 0F369h,"rgb(184,173,140)"
mov byte_40E080,"rgb(228,86,151)"
byte_40E080 al,"rgb(16,83,168)"
edi 71CF429Eh,"rgb(218,213,243)"
call sub_402887,"rgb(64,247,109)"
dword_40E058 2063A51Eh,"rgb(14,154,165)"
esi 7DECh,"rgb(161,208,216)"
ecx 0DEBBh,"rgb(155,38,71)"
ebx 394D3F00h,"rgb(28,63,1)"
dword_40E038 1769h,"rgb(145,0,70)"
[ebp+var_C] 0CA99h,"rgb(55,232,84)"
[ebp+var_C] 0AEC554AAh,"rgb(215,91,45)"
[ebp+var_8] 6BE1h,"rgb(212,86,83)"
dword_40E0DC 34h,"rgb(21,171,152)"
ebx 0DE3EF6BAh,"rgb(195,62,10)"
ebx 3904h,"rgb(238,6,65)"
edx 0D0E7h,"rgb(54,191,165)"
ebx 0AC47h,"rgb(194,19,30)"
esi 68D59869h,"rgb(140,132,245)"
edi 6B5C0460h,"rgb(145,232,41)"
eax 0C676h,"rgb(192,44,210)"
ebx 1DDD17D2h,"rgb(227,168,232)"
call sub_40380C,"rgb(42,24,7)"
ebx 0D2F1E76Eh,"rgb(237,127,207)"
ebx 0CB80h,"rgb(153,65,213)"
ebx 9B6Eh,"rgb(89,104,28)"
edi 17869EEFh,"rgb(81,43,204)"
ebx 0C941h,"rgb(75,81,48)"
jz loc_40337E,"rgb(199,197,121)"
edi 0C3AB7FC8h,"rgb(182,9,204)"
jge loc_4033B5,"rgb(92,126,84)"
[ebp+var_4] 9B81h,"rgb(213,44,224)"
ecx 0F538h,"rgb(213,149,156)"
eax 0F634AC0Fh,"rgb(191,78,251)"
ebx 0E4C4h,"rgb(210,91,13)"
jle loc_4033B5,"rgb(84,14,92)"
esi 696Ch,"rgb(64,137,10)"
push 1F51h,"rgb(169,71,207)"
ebx 662AB766h,"rgb(151,252,33)"
eax [ebx+73546625h],"rgb(237,47,217)"
edi 4571h,"rgb(244,169,177)"
[ebp+var_4] 0CB99h,"rgb(27,65,32)"
ebx [esi-207C7322h],"rgb(192,208,222)"
ebx 80AC9106h,"rgb(217,83,162)"
eax 0E006h,"rgb(145,89,37)"
edi 0F2B6h,"rgb(243,92,127)"
ecx [ebx+4075h],"rgb(0,35,13)"
ebx 0E469h,"rgb(169,20,180)"
esi 0EAE9A79Ch,"rgb(88,163,191)"
jle loc_40354E,"rgb(129,80,13)"
push 0C9DCh,"rgb(15,125,169)"
edi 2E47h,"rgb(30,224,250)"
dword_40E04C 8A5E1DEEh,"rgb(202,207,221)"
ebx 9513939Ch,"rgb(47,241,169)"
edi [ebx-69DFE559h],"rgb(121,39,41)"
push 8BABF615h,"rgb(166,6,205)"
dword_40E044 37A59F20h,"rgb(210,93,40)"
xor dword_40E0D0,"rgb(149,188,187)"
eax 531Fh,"rgb(227,192,74)"
eax 5CA73733h,"rgb(71,232,140)"
edi [eax-22h],"rgb(79,167,190)"
push 7EDB2FA0h,"rgb(166,232,42)"
ebx 47D4h,"rgb(187,191,208)"
ebx 0CAF1h,"rgb(244,85,220)"
eax 6E490EEEh,"rgb(209,216,82)"
push 0E941h,"rgb(29,95,170)"
esi 46B7E560h,"rgb(173,42,106)"
ecx [esi-11h],"rgb(101,103,159)"
ecx 517DDB6Ah,"rgb(142,115,88)"
[ebp+var_C] 5493C86Eh,"rgb(101,121,123)"
edi 23D0h,"rgb(183,108,96)"
call sub_404E38,"rgb(194,193,23)"
jle loc_4037EB,"rgb(25,18,118)"
cl byte_40E080,"rgb(140,118,92)"
push 0FB703970h,"rgb(161,152,245)"
eax 3B2B91A8h,"rgb(65,148,0)"
eax 44B08h,"rgb(228,134,159)"
dword_40E074 0BC0h,"rgb(135,145,231)"
edi 0F6E106Ah,"rgb(82,40,100)"
mov [esp+20h+var_1],"rgb(136,85,226)"
[esp+20h+var_1] 0AFh,"rgb(147,123,253)"
dword_40E038 4951A67Fh,"rgb(159,181,74)"
dword_40E0A4 16FEF082h,"rgb(235,204,76)"
call sub_406FA8,"rgb(61,84,156)"
push 0E9010F7Eh,"rgb(234,71,27)"
dword_40E044 0A0A54A8Bh,"rgb(87,118,210)"
dword_40E08C 16FF06D2h,"rgb(99,194,146)"
esi 0E900F9E2h,"rgb(86,38,91)"
edi 0EB86FDEFh,"rgb(64,59,224)"
edi 61C8EC01h,"rgb(59,74,229)"
push 180822D5h,"rgb(10,27,47)"
esi 0A7F9E70Ah,"rgb(231,202,250)"
call sub_404203,"rgb(20,221,210)"
eax 0DBE4D9CEh,"rgb(34,212,253)"
dword_40E0DC 3A70BC00h,"rgb(242,71,240)"
